explorer,model,seed,mean_1st_dim,var_1st_dim,time,n_logprob,n_steps,acceptance_prob,energy_jump_dist,miness,minKSess,geyerESS
adaptive RWMH,mixture,1,0.061932740314079957,3.0092770175858663e-32,30.780299417000002,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,2,-1.4107270035180508,1.5974494268585094e-29,30.334139166,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,3,0.663933944788043,3.1554556579921174e-30,29.88069933,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,4,-1.4395788335736013,2.415895738150215e-30,34.621788586,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,5,0.37817192964843055,1.1124213794288617e-30,47.965649709000004,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,6,-0.9885664662877797,4.9303994656126834e-30,27.573397043,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,7,-1.2660704897900557,7.099775230482264e-30,27.965344582999997,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,8,2.182806454827861,2.8399100921929057e-29,36.171880415000004,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,9,0.3994074448576435,1.9721597862450734e-31,37.585863293,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,mixture,10,1.2755279263567898,3.1554556579921174e-30,45.729083791,1048572,0,0.0,0.0,NaN,0.754693829460248,NaN
AutoStep RWMH,mixture,1,0.45291356680687705,0.009804283740011493,52.202026205,2097072,1048572,0.5550286203927347,0.0,536.8686391721272,0.754693829460248,4.266077245624498
AutoStep RWMH,mixture,2,0.4557412497087509,0.009570421872648527,53.784902626000004,2097072,1048572,0.556316777336832,0.0,536.2704450148275,0.754693829460248,3.2685643032408866
AutoStep RWMH,mixture,3,0.46236557736470596,0.009538293129184257,49.340441045,2097072,1048572,0.5567929612915989,0.0,534.6188389355721,0.754693829460248,3.4198912320769956
AutoStep RWMH,mixture,4,0.45276963034927054,0.008640430929082973,46.594663044,2097072,1048572,0.5553530239208783,0.0,536.7644909290977,0.754693829460248,3.699234998585244
AutoStep RWMH,mixture,5,0.45798841310968824,0.009466874033512462,72.332249251,2097072,1048572,0.5551203256882291,0.0,535.6539118354109,0.754693829460248,6.051154550691165
AutoStep RWMH,mixture,6,0.4625789414488568,0.009269270146371548,92.667106959,2097072,1048572,0.556004700192502,0.0,533.8127715079598,0.754693829460248,3.873845432516987
AutoStep RWMH,mixture,7,0.46008864911744435,0.010034795664791924,66.825822628,2097072,1048572,0.555346386436062,0.0,536.0442898804977,0.754693829460248,5.299898905591748
AutoStep RWMH,mixture,8,0.4534042429245062,0.00936469247392477,84.164402251,2097072,1048572,0.5562985313594788,0.0,536.9100470719933,0.754693829460248,5.525384954616708
AutoStep RWMH,mixture,9,0.45517068933478005,0.00956711776396726,94.99302496,2097072,1048572,0.555229149985128,0.0,536.4015509841805,0.754693829460248,5.147769783168008
AutoStep RWMH,mixture,10,0.45458823299009754,0.010009047872556468,94.440340667,2097072,1048572,0.5548519187012093,0.0,534.318871485717,0.754693829460248,4.945335732763222
HitAndRunSlicer,mixture,1,0.45745777122148956,0.00947098435928811,140.28975467,28349108,14205441,1.0,0.0,864.9253119985452,0.754693829460248,561.0869808217254
HitAndRunSlicer,mixture,2,0.4600513420025038,0.009584201655233543,147.481824792,28349492,14205291,1.0,0.0,823.6392386863878,0.754693829460248,494.5658630112107
HitAndRunSlicer,mixture,3,0.45708295413476807,0.009491804109448415,148.123207167,28369059,14215371,1.0,0.0,806.3599786082619,0.754693829460248,556.2990293295437
HitAndRunSlicer,mixture,4,0.45766962053000626,0.009581276993807574,151.497342999,28341781,14199874,1.0,0.0,851.64872594252,0.754693829460248,525.3593488434682
HitAndRunSlicer,mixture,5,0.4581312917432051,0.009429418023061112,148.511335663,28354687,14211121,1.0,0.0,834.7514311375515,0.754693829460248,531.2906593940104
HitAndRunSlicer,mixture,6,0.4570919161887378,0.00943330983908899,141.149087544,28369806,14219838,1.0,0.0,845.2652415604924,0.754693829460248,437.28617425960783
HitAndRunSlicer,mixture,7,0.45492134757060276,0.009333743180546116,173.573004459,28364033,14211738,1.0,0.0,856.2092523658479,0.754693829460248,524.7294407097143
HitAndRunSlicer,mixture,8,0.454249005350176,0.009374901849303183,185.19769912499999,28367424,14204602,1.0,0.0,833.9220081205527,0.754693829460248,505.0262118738403
HitAndRunSlicer,mixture,9,0.45743245862408055,0.009627461604314071,131.14228396000001,28370434,14213478,1.0,0.0,840.9147436960291,0.754693829460248,530.9113106421529
HitAndRunSlicer,mixture,10,0.4564539538798561,0.009424536976752102,266.997817083,28352702,14204537,1.0,0.0,833.5067968577732,0.754693829460248,452.3470742424208
